"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Estimate","438","","92.0%","78.1%","13.9%","7.3%","3.7%","3.0%","1.10","8.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","85.8%","14.2%","0.0%","100.0%","52.5%","47.5%","0.0%","0.0%","0.0%","0.0%","100.0%","438","","19.2%","10.5%","3.4%","15.5%","4.3%","15.8%","0.0%","7.8%","3.9%","19.6%","","6.4%","0.0%","19.9%","19.4%","3.9%","5.9%","4.1%","5.0%","35.4%","45.3","","438","0.0%","45.7%","25.1%","29.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±133","","±12.6","±15.2","±13.2","±11.4","±5.1","±5.6","±0.10","±12.6","±7.7","±7.7","±7.7","±7.7","","±7.7","±9.6","±9.6","±7.7","±7.7","±18.5","±18.5","±7.7","±7.7","±7.7","±7.7","±7.7","±133","","±14.7","±12.0","±4.3","±15.0","±5.4","±11.0","±7.7","±7.7","±6.3","±10.6","","±6.2","±7.7","±13.7","±15.8","±6.3","±5.6","±5.0","±5.7","±17.2","±13.1","","±133","±7.7","±19.2","±16.4","±18.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","553","","92.0%","89.0%","3.1%","0.0%","0.0%","3.1%","1.03","3.8%","0.0%","0.0%","2.0%","2.2%","","100.0%","81.0%","19.0%","0.0%","100.0%","62.2%","37.8%","0.0%","0.0%","0.0%","0.0%","100.0%","541","","8.9%","0.0%","1.8%","9.1%","0.0%","25.1%","3.9%","3.7%","0.0%","47.5%","","2.0%","8.3%","53.6%","21.3%","0.0%","0.0%","0.0%","2.0%","12.8%","27.2","","553","8.9%","22.8%","40.0%","28.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±161","","±7.2","±7.6","±3.9","±6.1","±6.1","±3.9","±0.04","±4.7","±6.1","±6.1","±3.9","±3.3","","±6.1","±17.8","±17.8","±6.1","±6.1","±17.0","±17.0","±6.1","±6.1","±6.1","±6.1","±6.1","±164","","±5.7","±6.3","±3.3","±10.0","±6.3","±14.4","±4.4","±4.2","±6.3","±17.1","","±3.9","±7.4","±16.6","±17.6","±6.3","±6.3","±6.3","±3.5","±8.9","±8.9","","±161","±10.4","±13.1","±15.9","±17.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9006.07, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,123","","84.8%","77.2%","7.6%","6.2%","0.6%","0.7%","1.05","5.3%","3.8%","0.0%","1.2%","4.9%","","100.0%","93.1%","6.9%","0.0%","100.0%","53.5%","46.5%","0.0%","0.0%","0.0%","0.0%","100.0%","1,068","","11.9%","12.5%","7.5%","4.0%","1.2%","22.1%","8.6%","5.7%","2.9%","23.6%","","9.7%","19.3%","26.0%","11.0%","1.8%","8.4%","3.7%","0.1%","19.9%","29.0","","1,095","5.5%","13.7%","51.4%","29.4%","","15.0%","18.4%","17.3%","21.3%","16.9%","2.4%"
"        Margin of Error","±181","","±7.6","±9.6","±4.9","±4.5","±1.0","±1.1","±0.03","±5.5","±3.6","±3.1","±2.0","±5.0","","±3.1","±6.0","±6.0","±3.1","±3.1","±11.6","±11.6","±3.1","±3.1","±3.1","±3.1","±3.1","±185","","±9.4","±10.3","±4.5","±4.5","±2.1","±7.7","±5.0","±4.0","±2.6","±9.2","","±5.7","±7.4","±9.2","±7.5","±3.2","±6.6","±4.0","±0.7","±10.7","±7.2","","±180","±5.7","±7.0","±12.0","±9.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","603","","84.1%","73.8%","10.3%","9.0%","0.0%","1.3%","1.07","8.1%","5.6%","0.0%","2.2%","0.0%","","100.0%","87.2%","12.8%","0.0%","100.0%","52.1%","47.9%","0.0%","0.0%","0.0%","0.0%","100.0%","603","","18.9%","11.8%","10.1%","2.7%","2.2%","22.4%","3.2%","6.8%","3.6%","18.4%","","9.1%","14.8%","27.4%","10.8%","0.8%","13.4%","6.6%","0.0%","17.1%","29.2","","589","6.6%","7.6%","59.1%","26.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±122","","±11.8","±14.5","±7.8","±7.5","±5.6","±2.0","±0.06","±10.0","±6.3","±5.6","±3.6","±5.6","","±5.6","±11.0","±11.0","±5.6","±5.6","±17.5","±17.5","±5.6","±5.6","±5.6","±5.6","±5.6","±122","","±15.7","±10.2","±6.9","±4.0","±3.6","±12.9","±3.5","±5.8","±4.0","±12.7","","±7.4","±11.1","±12.4","±10.0","±1.7","±10.8","±7.4","±5.6","±11.4","±7.7","","±118","±9.0","±8.8","±14.8","±11.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","520","","85.6%","81.2%","4.4%","3.1%","1.3%","0.0%","1.03","2.1%","1.7%","0.0%","0.0%","10.6%","","100.0%","100.0%","0.0%","0.0%","100.0%","55.2%","44.8%","0.0%","0.0%","0.0%","0.0%","100.0%","465","","2.8%","13.3%","4.1%","5.8%","0.0%","21.7%","15.7%","4.3%","1.9%","30.3%","","10.5%","25.2%","24.3%","11.4%","3.0%","1.9%","0.0%","0.2%","23.4%","28.9","","506","4.2%","20.8%","42.5%","32.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±136","","±10.8","±11.2","±4.1","±3.4","±2.2","±6.5","±0.04","±3.2","±2.8","±6.5","±6.5","±10.3","","±6.5","±6.5","±6.5","±6.5","±6.5","±14.9","±14.9","±6.5","±6.5","±6.5","±6.5","±6.5","±131","","±3.5","±17.8","±4.8","±9.9","±7.2","±12.7","±9.5","±5.4","±3.1","±15.6","","±7.3","±13.2","±13.4","±11.3","±7.0","±3.1","±7.2","±1.5","±19.7","±13.1","","±138","±4.5","±12.3","±17.0","±14.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9006.08, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,160","","93.1%","87.9%","5.2%","4.8%","0.0%","0.3%","1.03","0.0%","0.0%","0.0%","1.2%","5.7%","","100.0%","91.9%","8.1%","0.0%","100.0%","54.7%","45.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,094","","5.9%","5.4%","3.2%","20.3%","3.1%","27.3%","3.3%","7.7%","0.0%","23.8%","","3.9%","13.2%","31.2%","19.9%","3.3%","5.4%","2.7%","2.7%","17.7%","27.4","","1,157","0.9%","12.5%","48.7%","37.9%","","6.7%","9.9%","6.9%","11.9%","10.4%","1.3%"
"        Margin of Error","±258","","±4.8","±6.9","±4.6","±4.5","±3.0","±0.8","±0.03","±3.0","±3.0","±3.0","±1.4","±4.6","","±3.0","±4.2","±4.2","±3.0","±3.0","±8.8","±8.8","±3.0","±3.0","±3.0","±3.0","±3.0","±271","","±3.8","±3.7","±2.3","±10.0","±2.6","±10.0","±2.5","±3.5","±3.1","±9.5","","±3.0","±7.1","±11.7","±9.7","±2.7","±6.4","±2.9","±1.8","±7.6","±4.2","","±257","±1.4","±6.1","±14.1","±15.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","665","","97.1%","92.2%","5.0%","4.4%","0.0%","0.6%","1.03","0.0%","0.0%","0.0%","2.1%","0.8%","","100.0%","92.8%","7.2%","0.0%","100.0%","49.3%","50.7%","0.0%","0.0%","0.0%","0.0%","100.0%","660","","7.9%","5.5%","5.3%","25.3%","0.0%","17.0%","3.6%","5.9%","0.0%","29.5%","","3.9%","11.4%","33.6%","17.6%","2.3%","2.1%","3.3%","2.7%","23.0%","30.3","","665","1.5%","13.4%","41.4%","43.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±202","","±2.5","±5.4","±4.7","±4.4","±5.1","±1.4","±0.03","±5.1","±5.1","±5.1","±2.4","±1.1","","±5.1","±5.7","±5.7","±5.1","±5.1","±13.4","±13.4","±5.1","±5.1","±5.1","±5.1","±5.1","±201","","±5.5","±5.3","±3.8","±12.6","±5.2","±10.1","±3.8","±3.9","±5.2","±11.2","","±4.6","±7.4","±16.3","±11.4","±2.8","±3.5","±4.4","±2.3","±10.2","±6.0","","±202","±2.5","±8.2","±16.1","±18.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","495","","87.7%","82.2%","5.5%","5.5%","0.0%","0.0%","1.03","0.0%","0.0%","0.0%","0.0%","12.3%","","100.0%","90.7%","9.3%","0.0%","100.0%","62.0%","38.0%","0.0%","0.0%","0.0%","0.0%","100.0%","434","","3.0%","5.3%","0.0%","12.7%","7.8%","43.1%","2.8%","10.4%","0.0%","15.0%","","3.9%","15.9%","27.4%","23.5%","4.8%","10.4%","1.6%","2.8%","9.7%","22.9","","492","0.0%","11.4%","58.7%","29.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±122","","±9.4","±10.8","±5.3","±5.3","±6.8","±6.8","±0.04","±6.8","±6.8","±6.8","±6.8","±9.4","","±6.8","±7.7","±7.7","±6.8","±6.8","±13.4","±13.4","±6.8","±6.8","±6.8","±6.8","±6.8","±121","","±4.6","±5.1","±7.7","±12.1","±6.0","±13.9","±3.4","±8.5","±7.7","±9.4","","±4.8","±13.1","±12.9","±16.0","±6.4","±12.4","±2.5","±3.1","±9.3","±4.9","","±122","±6.9","±9.1","±16.8","±15.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9006.09, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,597","","90.7%","82.8%","7.8%","7.0%","0.0%","0.8%","1.05","3.2%","0.6%","0.0%","1.6%","3.9%","","100.0%","99.3%","0.7%","0.0%","100.0%","55.2%","44.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,534","","8.5%","6.3%","5.0%","14.1%","7.6%","13.3%","2.6%","8.1%","2.9%","31.4%","","15.0%","22.9%","22.8%","12.4%","0.6%","5.7%","0.3%","3.4%","16.9%","27.9","","1,594","1.0%","17.1%","48.2%","33.7%","","9.2%","8.4%","10.6%","15.5%","10.8%","0.0%"
"        Margin of Error","±292","","±5.8","±7.0","±3.2","±3.3","±2.2","±1.1","±0.02","±3.4","±0.9","±2.2","±1.6","±3.5","","±2.2","±1.0","±1.0","±2.2","±2.2","±7.9","±7.9","±2.2","±2.2","±2.2","±2.2","±2.2","±295","","±3.6","±4.4","±4.9","±7.2","±4.5","±5.2","±2.3","±5.7","±2.4","±7.6","","±7.1","±5.3","±11.1","±4.4","±1.0","±3.6","±0.7","±2.5","±7.1","±6.0","","±292","±1.2","±7.3","±10.6","±11.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","801","","95.5%","88.8%","6.7%","5.1%","0.0%","1.6%","1.04","0.0%","1.1%","0.0%","0.0%","3.4%","","100.0%","98.6%","1.4%","0.0%","100.0%","50.2%","49.8%","0.0%","0.0%","0.0%","0.0%","100.0%","774","","9.6%","7.8%","1.3%","16.8%","8.3%","13.2%","2.1%","4.3%","2.7%","34.1%","","9.8%","18.5%","22.4%","13.3%","0.0%","6.6%","0.5%","6.7%","22.2%","34.0","","801","1.1%","11.5%","51.8%","35.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±164","","±5.2","±6.8","±4.2","±3.7","±4.3","±2.3","±0.03","±4.3","±1.8","±4.3","±4.3","±4.9","","±4.3","±2.0","±2.0","±4.3","±4.3","±11.8","±11.8","±4.3","±4.3","±4.3","±4.3","±4.3","±164","","±6.0","±5.6","±1.8","±11.7","±6.7","±8.1","±3.2","±5.3","±3.7","±9.3","","±6.2","±8.8","±14.0","±7.4","±4.4","±5.7","±1.3","±5.1","±9.1","±7.4","","±164","±1.8","±8.4","±11.4","±11.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","796","","85.8%","76.9%","8.9%","8.9%","0.0%","0.0%","1.05","6.4%","0.0%","0.0%","3.3%","4.5%","","100.0%","100.0%","0.0%","0.0%","100.0%","60.3%","39.7%","0.0%","0.0%","0.0%","0.0%","100.0%","760","","7.5%","4.9%","8.8%","11.4%","6.8%","13.4%","3.2%","12.1%","3.2%","28.7%","","20.3%","27.5%","23.3%","11.4%","1.2%","4.9%","0.0%","0.0%","11.4%","21.7","","793","0.9%","22.7%","44.6%","31.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±180","","±9.8","±10.7","±5.6","±5.6","±4.3","±4.3","±0.04","±6.8","±4.3","±4.3","±3.1","±4.5","","±4.3","±4.3","±4.3","±4.3","±4.3","±11.6","±11.6","±4.3","±4.3","±4.3","±4.3","±4.3","±185","","±4.7","±5.1","±9.5","±7.5","±6.9","±6.9","±3.3","±7.3","±2.9","±11.1","","±10.2","±8.6","±10.2","±5.4","±2.0","±4.4","±4.5","±4.5","±10.0","±8.8","","±180","±1.5","±10.2","±12.8","±13.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9007.01, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,460","","86.6%","78.9%","7.7%","3.3%","0.9%","3.5%","1.06","3.4%","0.8%","0.0%","0.5%","8.8%","","100.0%","91.0%","9.0%","0.0%","100.0%","46.9%","53.1%","0.0%","0.0%","0.0%","0.0%","100.0%","1,332","","9.8%","4.3%","7.3%","19.4%","5.7%","17.2%","7.2%","14.0%","2.6%","12.5%","","9.2%","19.7%","24.8%","11.6%","0.9%","3.5%","1.2%","5.1%","23.9%","32.0","","1,454","1.5%","22.4%","56.3%","19.7%","","8.0%","8.7%","9.1%","14.1%","9.5%","1.2%"
"        Margin of Error","±225","","±6.4","±7.4","±4.3","±2.5","±1.1","±3.8","±0.04","±2.9","±1.2","±2.4","±0.8","±4.7","","±2.4","±4.3","±4.3","±2.4","±2.4","±8.2","±8.2","±2.4","±2.4","±2.4","±2.4","±2.4","±203","","±5.0","±3.9","±4.7","±8.9","±3.2","±8.7","±3.8","±7.3","±2.1","±6.1","","±5.7","±8.0","±8.9","±8.1","±1.3","±2.2","±2.0","±3.5","±7.2","±6.0","","±221","±2.3","±7.3","±8.3","±6.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","807","","87.4%","78.9%","8.4%","3.3%","1.6%","3.5%","1.07","2.6%","1.5%","0.0%","0.0%","8.6%","","100.0%","89.1%","10.9%","0.0%","100.0%","49.8%","50.2%","0.0%","0.0%","0.0%","0.0%","100.0%","738","","9.2%","6.4%","5.8%","25.5%","7.3%","20.1%","1.2%","13.7%","3.1%","7.7%","","5.8%","13.8%","23.3%","12.6%","1.6%","3.3%","0.4%","7.7%","31.4%","38.1","","801","1.4%","22.1%","56.7%","19.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±190","","±9.7","±11.0","±5.6","±3.1","±1.9","±5.0","±0.05","±3.9","±2.3","±4.2","±4.2","±8.3","","±4.2","±7.4","±7.4","±4.2","±4.2","±12.3","±12.3","±4.2","±4.2","±4.2","±4.2","±4.2","±192","","±6.2","±6.1","±5.0","±14.5","±5.3","±12.0","±2.1","±9.9","±3.2","±8.3","","±4.3","±9.0","±14.2","±13.5","±2.5","±2.7","±2.2","±5.9","±11.1","±9.5","","±187","±2.1","±12.2","±13.6","±8.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","653","","85.6%","78.9%","6.7%","3.2%","0.0%","3.5%","1.05","4.3%","0.0%","0.0%","1.1%","9.0%","","100.0%","93.3%","6.7%","0.0%","100.0%","43.3%","56.7%","0.0%","0.0%","0.0%","0.0%","100.0%","594","","10.6%","1.7%","9.1%","11.8%","3.7%","13.6%","14.6%","14.5%","2.0%","18.4%","","13.5%","27.1%","26.6%","10.4%","0.0%","3.9%","2.2%","1.9%","14.5%","24.4","","653","1.7%","22.8%","55.9%","19.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±144","","±7.6","±8.9","±5.9","±3.1","±5.2","±5.4","±0.06","±4.6","±5.2","±5.2","±1.8","±6.3","","±5.2","±4.3","±4.3","±5.2","±5.2","±11.8","±11.8","±5.2","±5.2","±5.2","±5.2","±5.2","±138","","±7.6","±4.1","±8.1","±8.2","±3.7","±11.4","±8.1","±11.2","±2.6","±8.2","","±11.5","±13.7","±10.9","±8.0","±5.7","±4.0","±3.5","±2.9","±7.3","±5.8","","±144","±2.6","±10.1","±9.9","±7.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9007.03, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,708","","89.8%","79.2%","10.7%","5.8%","2.5%","2.3%","1.08","3.8%","0.5%","0.4%","2.3%","3.2%","","99.4%","86.5%","12.9%","0.6%","100.0%","43.1%","56.9%","0.0%","0.0%","0.0%","0.0%","100.0%","1,654","","10.9%","11.6%","3.0%","14.9%","6.8%","18.4%","7.3%","8.7%","0.0%","18.4%","","4.2%","17.7%","25.0%","12.9%","0.4%","2.1%","6.1%","9.6%","21.9%","33.4","","1,707","5.2%","31.5%","49.5%","13.9%","","8.8%","8.0%","10.1%","13.5%","12.6%","0.0%"
"        Margin of Error","±199","","±4.4","±6.6","±5.5","±4.2","±2.1","±2.1","±0.04","±2.9","±0.7","±0.6","±2.3","±2.6","","±1.0","±4.1","±4.0","±1.0","±2.0","±9.1","±9.1","±2.0","±2.0","±2.0","±2.0","±2.0","±189","","±5.1","±5.5","±2.4","±5.6","±3.8","±5.7","±3.3","±4.5","±2.1","±5.8","","±2.9","±6.4","±8.7","±5.0","±0.7","±1.9","±3.7","±6.2","±6.9","±4.8","","±198","±3.4","±7.4","±9.5","±6.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","959","","87.4%","77.2%","10.2%","5.3%","2.0%","2.9%","1.08","2.2%","0.0%","0.7%","4.2%","5.5%","","99.0%","80.7%","18.2%","1.0%","100.0%","38.7%","61.3%","0.0%","0.0%","0.0%","0.0%","100.0%","906","","14.7%","14.3%","5.5%","13.2%","3.8%","12.3%","9.5%","5.6%","0.0%","21.1%","","1.8%","9.7%","27.0%","11.3%","0.0%","3.1%","7.6%","15.6%","24.0%","37.9","","959","2.9%","24.2%","56.3%","16.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±138","","±6.5","±8.7","±6.2","±4.5","±2.4","±3.2","±0.05","±2.5","±3.6","±1.1","±4.1","±4.7","","±1.7","±6.2","±6.0","±1.7","±3.6","±9.4","±9.4","±3.6","±3.6","±3.6","±3.6","±3.6","±140","","±7.3","±7.5","±4.3","±7.6","±3.7","±6.8","±4.9","±4.4","±3.8","±8.2","","±2.4","±6.0","±11.3","±6.7","±3.8","±3.2","±4.2","±11.2","±9.0","±5.8","","±138","±2.6","±8.1","±12.3","±9.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","749","","92.9%","81.7%","11.2%","6.4%","3.2%","1.6%","1.08","5.9%","1.1%","0.0%","0.0%","0.1%","","100.0%","94.0%","6.0%","0.0%","100.0%","48.7%","51.3%","0.0%","0.0%","0.0%","0.0%","100.0%","748","","6.3%","8.3%","0.0%","16.8%","10.4%","25.9%","4.7%","12.4%","0.0%","15.1%","","7.1%","27.4%","22.6%","15.0%","0.9%","0.9%","4.3%","2.3%","19.5%","28.0","","748","8.0%","40.8%","40.8%","10.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±134","","±5.9","±8.5","±6.4","±5.1","±2.9","±2.6","±0.05","±5.6","±1.7","±4.6","±4.6","±0.3","","±4.6","±4.7","±4.7","±4.6","±4.6","±13.9","±13.9","±4.6","±4.6","±4.6","±4.6","±4.6","±134","","±5.5","±6.7","±4.6","±10.3","±7.2","±9.5","±3.1","±7.2","±4.6","±7.6","","±5.2","±9.6","±10.8","±8.5","±1.6","±1.5","±5.2","±2.5","±10.0","±6.7","","±134","±6.1","±10.9","±10.7","±6.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9007.04, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
